ISO 639-3,Language,Filename,WALS 116A,GB 107,WALS 81A,Title,Family,Subfamily,Genus,Macroarea,Author,Year,Pages,RAG,CoT,Question,Result
spp,Supyire,carlson1994grammar,Clause-initial question particle,1,SOV,A Grammar of Supyire,Niger-Congo,,Senufo,Africa,"Carlson, Robert",1990,1048,0,0,WALS 81A,1
djm,Jamsay,heath2008grammar,Clause-final question particle,1,SOV,A grammar of Jamsay,Dogon,,Dogon,Africa,"Heath, Jeffrey",2008,755,0,0,WALS 81A,1
mhi,Ma'di,blackings2003grammar,Tone,0,No dominant order,A Grammar of Ma'di,Central Sudanic,,Moru-Ma'di,Africa,"Blackings, Mairi and Fabb, Nigel",2003,750,0,0,WALS 81A,0
dba,Bangime,hantgan2013aspects,Clause-final question particle,1,No dominant order,"Aspects of Bangime Phonology, Morphology, and Morphosyntax",Bangime,,Bangime,Africa,"Hantgan, Abbie",2013,550,0,0,WALS 81A,1
guk,Gumuz,ahland2012grammar,"Clause-final question particle, Interrogative intonation only",1,SVO,A grammar of Northern and Southern Gumuz,Gumuz,,Gumuz,Africa,"Ahland, Colleen Anne",2012,506,0,0,WALS 81A,1
khq,Koyra Chiini,heath1999grammar,"Clause-initial question particle, Interrogative intonation only",0,SVO,A Grammar of Koyra Chiini: The Songhay of Timbuktu,Songhay,,Songhay,Africa,"Heath, Jeffrey",1999,467,0,0,WALS 81A,1
sif,Seme,toews2015topics,Clause-final question particle,0,SOV,Topics in Siamou tense and aspect,Siamou,,Siamou,Africa,"Toews, Carmela I. P.",2015,432,0,0,WALS 81A,1
tms,Tima,mubarak2009tima,Not mentioned in the grammar,1,SVO,Tima Word Structure (Noun and Verb),Kordofanian,,Katla-Tima,Africa,"Alamin Mubarak, Suzan",2009,344,0,0,WALS 81A,1
knw,!Xun (Ekoka),heine2015xun,"Clause-final question particle, Second position question particle",1,SVO,The !Xun Language: A Dialect Grammar of Northern Khoisan,Kxa,,Ju-Kung,Africa,"Heine, Bernd and König, Christa",2015,342,0,0,WALS 81A,1
xtc,Katcha,turner2016morphosyntax,Not mentioned in the grammar,0,No dominant order,Morphosyntax of Katcha nominals: a Dynamic Syntax account,Kadu,,Kadugli,Africa,"Turner, Darryl John",2016,289,0,0,WALS 81A,0
ijc,Ijo (Kolokuma),williamson1965grammar,Tone,1,SOV,A Grammar of the Kolokuma Dialect of Ịjọ,Ijoid,,Ijoid,Africa,"Williamson, Kay",1965,134,0,0,WALS 81A,1
ema,Emai,schaefer2017grammar,Interrogative intonation only,1,SVO,A grammar of Emai,Niger-Congo,Benue-Congo,Edoid,Africa,"Schaefer, Ronald P. and Egbokhare, Oisaghaede Francis",2017,1019,0,0,WALS 81A,1
ikx,Ik,schrock2014grammar,"Interrogative verb morphology, Tone",1,VSO,A grammar of Ik (Icé-tód): Northeast Uganda's last thriving Kuliak language,Eastern Sudanic,,Kuliak,Africa,"Schrock, Terrill",2014,747,0,0,WALS 81A,1
niy,Ngiti,kutsch1994ngiti,"Clause-initial question particle, Second position question particle, Tone",0,No dominant order,Ngiti: A Central-Sudanic Language of Zaire,Central Sudanic,,Lendu,Africa,"Kutsch Lojenga, Constance",1994,531,0,0,WALS 81A,0
sid,Sidaama,kawachi2007grammar,Interrogative intonation only,1,SOV,A Grammar of Sidaama (Sidaamo): A Cushitic Language of Ethiopia,Afro-Asiatic,Cushitic,Highland East Cushitic,Africa,"Kawachi, Kazuhiro",2007,842,0,0,WALS 81A,1
muz,Mursi,worku2020grammar,Interrogative intonation only,1,SVO,"A grammar of Mursi, a Nilo-Saharan language",Eastern Sudanic,Surmic,South Surmic,Africa,"Worku, Firew Girma",2020,689,0,0,WALS 81A,1
mpe,Majang,joswig2019majang,"Clause-final question particle, Clause-medial question particle, Tone",1,VSO,The Majang Language,Eastern Sudanic,Surmic,Majang,Africa,"Joswig, Andreas",2019,542,0,0,WALS 81A,1
