ISO 639-3,Language,Filename,WALS 116A,WALS 116A: Pages,WALS 116A: PDF Pages,GB 107,GB 107: Pages,GB 107: PDF Pages,WALS 81A,WALS 81A: Pages,WALS 81A: PDF Pages,Title,Family,Subfamily,Genus,Macroarea,Author,Year,Pages,Type
spp,Supyire,carlson1994grammar,Clause-initial question particle,527-529,550-552,1,376-397,399-420,SOV,238,261,A Grammar of Supyire,Niger-Congo,,Senufo,Africa,"Carlson, Robert",1990,1048,grammar
djm,Jamsay,heath2008grammar,Clause-final question particle,460-463,482-485,1,"11, 366-371","33, 388-393",SOV,17,39,A grammar of Jamsay,Dogon,,Dogon,Africa,"Heath, Jeffrey",2008,755,grammar
mhi,Ma'di,blackings2003grammar,Tone,"25, 425, 631-632","41, 443, 649-650",0,"20-21, 466-474","36-37, 484-492",No dominant order,15,31,A Grammar of Ma'di,Central Sudanic,,Moru-Ma'di,Africa,"Blackings, Mairi and Fabb, Nigel",2003,750,grammar
dba,Bangime,hantgan2013aspects,Clause-final question particle,437,457,1,314-320 (negation has an impact on tone assignment),334-340,No dominant order,257,277,"Aspects of Bangime Phonology, Morphology, and Morphosyntax",Bangime,,Bangime,Africa,"Hantgan, Abbie",2013,550,grammar
guk,Gumuz,ahland2012grammar,"Clause-final question particle, Interrogative intonation only","207, 242 (also omission of affirmative morpheme, not obligatory)","236, 271",1,209,238,SVO,409,438,A grammar of Northern and Southern Gumuz,Gumuz,,Gumuz,Africa,"Ahland, Colleen Anne",2012,506,grammar
khq,Koyra Chiini,heath1999grammar,"Clause-initial question particle, Interrogative intonation only",175,191,0,"11, 162","27, 178",SVO,11,27,A Grammar of Koyra Chiini: The Songhay of Timbuktu,Songhay,,Songhay,Africa,"Heath, Jeffrey",1999,467,grammar
sif,Seme,toews2015topics,Clause-final question particle,70,92,0,69,91,SOV,11,33,Topics in Siamou tense and aspect,Siamou,,Siamou,Africa,"Toews, Carmela I. P.",2015,432,grammar
tms,Tima,mubarak2009tima,Not mentioned in the grammar,,,1,"40, 255-257","61, 276-278",SVO,209,230,Tima Word Structure (Noun and Verb),Kordofanian,,Katla-Tima,Africa,"Alamin Mubarak, Suzan",2009,344,grammar
knw,!Xun (Ekoka),heine2015xun,"Clause-final question particle, Second position question particle",245-246,126-127,1,"77-79 (negation markers are clitics, albeit not glossed as clitics)",39-40,SVO,29,15,The !Xun Language: A Dialect Grammar of Northern Khoisan,Kxa,,Ju-Kung,Africa,"Heine, Bernd and König, Christa",2015,342,grammar
xtc,Katcha,turner2016morphosyntax,Not mentioned in the grammar,,,0,"118, 212","137, 231",No dominant order,"134, 154","153, 173",Morphosyntax of Katcha nominals: a Dynamic Syntax account,Kadu,,Kadugli,Africa,"Turner, Darryl John",2016,289,grammar_sketch;specific_feature
ijc,Ijo (Kolokuma),williamson1965grammar,Tone,76-77,42,1,74-75,41,SOV,"33-35, 71","20-21, 39",A Grammar of the Kolokuma Dialect of Ịjọ,Ijoid,,Ijoid,Africa,"Williamson, Kay",1965,134,grammar
ema,Emai,schaefer2017grammar,Interrogative intonation only,9,35,1,"15-20, 99-100, 104-105 (negation has an impact on tone assignment)","41-46, 125-126, 130-131",SVO,9,35,A grammar of Emai,Niger-Congo,Benue-Congo,Edoid,Africa,"Schaefer, Ronald P. and Egbokhare, Oisaghaede Francis",2017,1019,grammar
ikx,Ik,schrock2014grammar,"Interrogative verb morphology, Tone",526-529,558-561,1,360-361,392-393,VSO,20,52,A grammar of Ik (Icé-tód): Northeast Uganda's last thriving Kuliak language,Eastern Sudanic,,Kuliak,Africa,"Schrock, Terrill",2014,747,grammar
niy,Ngiti,kutsch1994ngiti,"Clause-initial question particle, Second position question particle, Tone",379-380,389-390,0,242,254,No dominant order,"232, 269, 274","244, 281, 286",Ngiti: A Central-Sudanic Language of Zaire,Central Sudanic,,Lendu,Africa,"Kutsch Lojenga, Constance",1994,531,grammar
sid,Sidaama,kawachi2007grammar,Interrogative intonation only,"9, 72-73","30, 93-94",1,286-290,307-311,SOV,511,532,A Grammar of Sidaama (Sidaamo): A Cushitic Language of Ethiopia,Afro-Asiatic,Cushitic,Highland East Cushitic,Africa,"Kawachi, Kazuhiro",2007,842,grammar
muz,Mursi,worku2020grammar,Interrogative intonation only,529-531,552-554,1,534-549,557-572,SVO,455,478,"A grammar of Mursi, a Nilo-Saharan language",Eastern Sudanic,Surmic,South Surmic,Africa,"Worku, Firew Girma",2020,689,grammar
mpe,Majang,joswig2019majang,"Clause-final question particle, Clause-medial question particle, Tone",382-385,388-391,1,378-379,384-385,VSO,126,132,The Majang Language,Eastern Sudanic,Surmic,Majang,Africa,"Joswig, Andreas",2019,542,grammar
bvq,Birri,santandrea1966birri,Not mentioned in the grammar,,,0,207,38,Not mentioned in the grammar,,,The Birri Language: Brief Elementary Notes,Central Sudanic,,Birri,Africa,"Santandrea, Stefano",1966,154,grammar_sketch
taq,Tamashek,heath2005grammar,"Clause-initial question particle, Interrogative intonation only",649,668,1,"301, 309-310 (ablaut)","320, 328-329",VSO,16,35,A grammar of Tamashek (Tuareg of Mali),Afro-Asiatic,,Berber,Africa,"Heath, Jeffrey",2005,763,grammar
cop,Coptic,reintges2018coptic,"Clause-initial question particle, Interrogative intonation only",149-151,83-84,1,338-339,234,SVO,371,250,Coptic Egyptian (Sahidic Dialect): A Learner's Grammar,Afro-Asiatic,,Egyptian-Coptic,Africa,"Reintges, C. H.",2018,646,grammar
ibo,Igbo,emenanjo2015grammar,Tone,"308, 392","343, 427",1,466,501,SVO,30,65,A Grammar of Contemporary Igbo,Niger-Congo,Benue-Congo,Igboid,Africa,"Emenanjo, Nolue Emmanuel",2015,672,grammar
mcs,Mambai,anonby2008phonology,Clause-final question particle,433-434 (error in Grambank?),450,0,357-360,374-377,SVO,431,448,"Phonology and Morphology of Mambay (Niger-Congo, Adamawa)",Niger-Congo,Adamawa-Ubangi,Mbumic,Africa,"Anonby, Erik John",2008,592,grammar
tbi,Ingessana,stirtz2012lot,Clause-final question particle,"295, 311","296, 312",0,279,280,SVO,282,283,"A grammar of Gaahmg, a Nilo-Saharan language of Sudan",Eastern Sudanic,,Eastern Jebel,Africa,"Stirtz, Timothy",2012,350,grammar
gow,Gorowa,harvey2018gorwaa,Clause-initial question particle,184-185,184-185,1,182-183,182-183,SOV,172,172,The Gorwaa noun: Toward a description of the Gorwaa language,Afro-Asiatic,Cushitic,Southern Cushitic,Africa,"Harvey, Andrew",2018,564,grammar_sketch;specific_feature
shj,Shatt,alfira2016caning,Not mentioned in the grammar,,,0,Not mentioned in the grammar,,Not mentioned in the grammar,,,Caning Grammar Book,Eastern Sudanic,,Daju,Africa,"Alfira, David Abbi and Kafi, Timothy Kuku and Kaki, Hassan Kuwa and Hasan, Ali Alaliim and Anjo, Anjo Kuku and Jas, Dayan Kuku and Sarukh, Sadik Kafi",2016,270,grammar
kfz,Koromfe,rennison1997koromfe,Clause-final question particle,"12-14, 434","47-48, 469",1,98-99,133-134,SVO,150,185,Koromfe,Niger-Congo,Gur,Koromfe,Africa,"Rennison, John R.",1997,575,grammar
fia,Nobiin,bechhaus2011hi,Interrogative verb morphology,100-102,100-102,1,122-123 (can be either free or bound),122-123,SOV,212,212,The (Hi)story of Nobiin - 1000 years of language change,Eastern Sudanic,,Nubian,Africa,"Bechhaus-Gerst, Marianne",2011,252,grammar_sketch;comparative
nyi,Nyimang,stevenson1938grammar,Not mentioned in the grammar,,,0,116,128,Not mentioned in the grammar,,,A grammar of the Nyimang language (Nuba Mountains),Eastern Sudanic,,Nyimang,Africa,"Stevenson, Roland C.",1938,195,grammar
lme,Lamé,shay2019grammar,Clause-final question particle,226-227,242-243,0,236-240,252-256,SVO,"118, 124","134, 140",A Grammar of Pévé,Afro-Asiatic,Chadic,Masa,Africa,"Shay, Erin",2019,383,grammar
gup,Bininj Gun-Wok,evans2003bininj,"Clause-initial question particle, Interrogative intonation only",607-608,637-638,0,604-605,634-635,No dominant order,549-551,579-581,"Bininj Gun-Wok: A Pan-dialectal Grammar of Mayali, Kunwinjku and Kune",Gunwinyguan,,Marne,Australia,"Evans, Nicholas",2003,775,grammar
wmb,Wambaya,nordlinger1998grammar,"Interrogative intonation only, Interrogative verb morphology, Second position question particle",197-198,215-216,0,200,218,No dominant order,"2, 173","20, 191",A Grammar of Wambaya,Mirndi,,Wambayan,Australia,"Nordlinger, Rachel",1993,684,grammar
wrr,Wardaman,merlan1994grammar,Not mentioned in the grammar,,,0,186-187,210-211,No dominant order,248-249,272-273,A Grammar of Wardaman: A Language of the Northern territory of Australia,Yangmanic,Gunwinyguan,Yangmanic,Australia,"Merlan, Francesca C.",1994,633,grammar
gni,Gooniyandi,mcgregor1990functional,No interrogative-declarative distinction,369-371,353-355,0,488-489,472-473,No dominant order,3,16,A Functional Grammar of Gooniyandi,Bunuban,,Bunuban,Australia,"McGregor, William",1990,618,grammar
tiw,Tiwi,lee1987tiwi,"Clause-final question particle, Interrogative intonation only",290,298,0,287-289,295-297,SVO,15-16,23-24,Tiwi Today: a study of language change in a contact situation,Tiwian,,Tiwian,Australia,"Lee, Jennifer R.",1983,605,grammar
nck,Nakkara,eather1990grammar,Not mentioned in the grammar,,,1,189-190,210-211,Not mentioned in the grammar,,,A Grammar of Nakkara (Central Arnhem Land Coast),Mangrida,,Nakkara,Australia,"Eather, Bronwyn",1990,514,grammar
wrk,Garrwa,mushin2012grammar,"Interrogative intonation only, Second position question particle",286,304,0,280-283,298-301,No dominant order,263,281,A grammar of (Western) Garrwa,Garrwan,,Garrwan,Australia,"Mushin, Ilana",2012,491,grammar
nam,Ngankikurungkurr,reid2011ngan,Not mentioned in the grammar,,,0,"250, 353, 354 (negative particle)","276, 379, 380",No dominant order,327,353,"Ngan'gityemerri: A Language of the Daly River Region, Northern territory of Australia",Southern Daly,,Ngankikurungkurr,Australia,"Reid, Nicholas J.",1990,482,grammar
waq,Wagiman,cook1987wagiman,Not mentioned in the grammar,,,0,271,290,No dominant order,292-298,311-317,Wagiman matyin: a description of the wagiman language of the Northern Territory,Wagiman,,Wagiman,Australia,"Cook, Anthony R.",1987,389,grammar
aii,Neo-Aramaic (Assyrian),khan2008neo,"Clause-initial question particle, Interrogative verb morphology","627, 631, 1021","666, 670, 1060",1,194,233,SOV,879,918,The Neo-Aramaic Dialect of Barwar,Afro-Asiatic,,Semitic,Eurasia,"Khan, Geoffrey",2008,2236,grammar;text;dictionary
eng,English,huddleston2005cambridge,"Interrogative intonation only, Interrogative word order","868, 890","888, 910",1,799-801,819-821,SVO,53,73,The Cambridge grammar of the English language,Indo-European,,Germanic,Eurasia,"Huddleston, Rodney D. and Pullum, Geoffrey K.",2002,1859,grammar
kor,Korean,martin1992reference,Clause-final question particle,"20, 21","28, 29",1,315,311,SOV,"283, 297","279, 293",A Reference Grammar of Korean: A Complete Guide to the Grammar and History of the Korean Language,Korean,,Korean,Eurasia,"Martin, Samuel E.",1992,1042,grammar
eus,Basque,hualde2003grammar,Interrogative intonation only,467-469,497-499,0,518,548,SOV,78,108,A Grammar of Basque,Basque,,Basque,Eurasia,"Hualde, José I. and de Urbina, Jon Ortiz",2003,976,grammar
