Language,Response,Target,Predicted
Supyire,"Based on the provided paragraphs from the descriptive grammar of Supyire, here is the analysis of the strategies for forming polar questions (yes-no questions):

1. **Interrogative intonation only**: There is no explicit mention of using intonation alone to form polar questions. Therefore, this strategy is coded as 0.

2. **Interrogative word order**: There is no indication that changing the word order alone can form polar questions. Therefore, this strategy is coded as 0.

3. **Clause-initial question particle**: Paragraph 17 mentions clause-initial particles like ""tähä"" and ""tä"" used to form yes/no questions. Therefore, this strategy is coded as 1.

4. **Clause-final question particle**: Multiple paragraphs (e.g., Paragraphs 3, 9, 10, 13, 15, 16, 20, 21) mention the use of clause-final particles such as ""la,"" ""bi,"" and ""mä"" to form yes/no questions. Therefore, this strategy is coded as 1.

5. **Clause-medial question particle**: There is no mention of a clause-medial question particle. Therefore, this strategy is coded as 0.

6. **Interrogative verb morphology**: There is no mention of specific verb morphology used to form polar questions. Therefore, this strategy is coded as 0.

7. **Tone**: There is no mention of tone being used to distinguish polar questions from declarative sentences. Therefore, this strategy is coded as 0.

**Reasoning**:
- The grammar explicitly mentions the use of clause-initial particles (e.g., ""tähä,"" ""tä"") and clause-final particles (e.g., ""la,"" ""bi,"" ""mä"") for forming yes/no questions.
- There is no evidence provided for the use of intonation alone, word order changes, clause-medial particles, interrogative verb morphology, or tone in forming polar questions.

**Conclusion**:
""Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 1, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""",clause-initial question particle,"interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 1, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Jamsay,"Based on the provided paragraphs from the descriptive grammar of Jamsay, we can determine the strategies for forming polar questions in the language. Here is the reasoning for each strategy:

1. **Interrogative intonation only**: There is no explicit mention of interrogative intonation being the sole marker of polar questions in the provided paragraphs. Therefore, we cannot confirm this strategy.
   
2. **Interrogative word order**: There is no evidence in the provided paragraphs that Jamsay uses a different word order to form polar questions.

3. **Clause-initial question particle**: There is no mention of a clause-initial question particle in the provided paragraphs.

4. **Clause-final question particle**: The paragraphs explicitly mention the use of the clause-final interrogative particle ""ma"" for forming polar questions. This is clearly illustrated in examples such as:
   - (759)a. [n)a˘& n)E@˘-sa$-w ma$] [n)E˘$ -lu@˘-Ø] [meal eat-Reslt-2SgS Q] [eat-PerfNeg-2SgS] ‘Have you-Sg eaten a meal, or haven’t you?’
   - (136)c. n)a&˘ n)E˘@ -jE$-Ø ma$ Q ‘Has he/she eaten?’

5. **Clause-medial question particle**: There is no mention of a clause-medial question particle in the provided paragraphs.

6. **Interrogative verb morphology**: There is no evidence in the provided paragraphs that Jamsay uses specific verb morphology to mark polar questions.

7. **Tone**: The paragraphs do not provide evidence that tone alone is used to distinguish polar questions from statements.

### Conclusion:
Based on the provided information, the strategies for forming polar questions in Jamsay are as follows:
- **Interrogative intonation only**: 0
- **Interrogative word order**: 0
- **Clause-initial question particle**: 0
- **Clause-final question particle**: 1
- **Clause-medial question particle**: 0
- **Interrogative verb morphology**: 0
- **Tone**: 0

Therefore, the output is:
""Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""",clause-final question particle,"interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Ma'di,"### Reasoning:

Based on the provided paragraphs from the descriptive grammar of Ma'di, we can identify the strategies used for forming polar questions (yes-no questions) in the language. Here is the analysis of each strategy:

1. **Interrogative intonation only**:
   - Paragraph 3 mentions that yes-no questions have the syntax of declarative sentences with a final rising tone. This indicates that interrogative intonation alone can mark a polar question.
   - Paragraph 9 also supports this by stating that it is possible to add a final rising tone to a declarative sentence to turn it into a yes-no question.
   - Paragraph 11 mentions that subordinate yes-no questions can be coded just by rising intonation.
   - Paragraph 15 reiterates the use of a high tone on yes-no questions for emphasis.
   - Conclusion: **1**

2. **Interrogative word order**:
   - There is no mention in the provided paragraphs of changing word order to form polar questions.
   - Conclusion: **0**

3. **Clause-initial question particle**:
   - There is no mention in the provided paragraphs of a clause-initial question particle.
   - Conclusion: **0**

4. **Clause-final question particle**:
   - Paragraph 25 mentions that Ugandan Ma'di has a final ""â"" as a question particle instead of the high tone found in Lokai Ma'di.
   - Paragraph 32 mentions a sentence-final ""dì"" with a high question tone.
   - Conclusion: **1**

5. **Clause-medial question particle**:
   - There is no mention in the provided paragraphs of a clause-medial question particle.
   - Conclusion: **0**

6. **Interrogative verb morphology**:
   - There is no mention in the provided paragraphs of interrogative verb morphology.
   - Conclusion: **0**

7. **Tone**:
   - Paragraph 3 and Paragraph 9 mention the use of a final rising tone to mark yes-no questions, but this is related to intonation rather than lexical or grammatical tone changes within words.
   - Conclusion: **0**

### Conclusion:
""Interrogative intonation only: 1, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""",tone,"interrogative intonation only: 1, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Bangime,"### Reasoning

Based on the provided paragraphs from the descriptive grammar of Bangime, we can identify the strategies used for forming neutral polar questions (yes-no questions) in the language. Here is the analysis of each strategy:

1. **Interrogative Intonation Only**: 
   - There is no explicit mention in the provided paragraphs that intonation alone can mark polar questions. Therefore, we code this as 0.

2. **Interrogative Word Order**: 
   - Paragraph 1 and Paragraph 7 mention that the structure of a question is Q–S–V, indicating a specific word order for questions. This suggests that word order is used to form polar questions. Therefore, we code this as 1.

3. **Clause-initial Question Particle**: 
   - Paragraph 7 explicitly states that the question particles are phrase-initial, indicating the presence of clause-initial question particles. Therefore, we code this as 1.

4. **Clause-final Question Particle**: 
   - There is no mention of clause-final question particles in the provided paragraphs. Therefore, we code this as 0.

5. **Clause-medial Question Particle**: 
   - There is no mention of clause-medial question particles in the provided paragraphs. Therefore, we code this as 0.

6. **Interrogative Verb Morphology**: 
   - There is no mention of specific interrogative verb morphology in the provided paragraphs. Therefore, we code this as 0.

7. **Tone**: 
   - There is no mention of tone being used to mark polar questions in the provided paragraphs. Therefore, we code this as 0.

### Conclusion:
""Interrogative intonation only: 0, Interrogative word order: 1, Clause-initial question particle: 1, Clause-final question particle: 0, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""",clause-final question particle,"interrogative intonation only: 0, interrogative word order: 1, clause-initial question particle: 1, clause-final question particle: 0, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Gumuz,"### Reasoning

Based on the provided paragraphs from the descriptive grammar of Gumuz, we can identify the strategies used for forming polar questions in the language. Here is the detailed analysis:

1. **Interrogative Intonation Only**:
   - Paragraph 3 mentions that ""Lack of the affirmative morpheme with a final rise in intonation generally indicates a Yes/No question."" This suggests that interrogative intonation alone can mark polar questions.
   - Therefore, code this strategy as 1.

2. **Interrogative Word Order**:
   - There is no mention of a change in word order to form polar questions in the provided paragraphs.
   - Therefore, code this strategy as 0.

3. **Clause-initial Question Particle**:
   - There is no mention of a clause-initial question particle in the provided paragraphs.
   - Therefore, code this strategy as 0.

4. **Clause-final Question Particle**:
   - Paragraph 1 states that ""The Yes/No question particle is a clause final clitic.""
   - Paragraph 3 provides examples where the Yes/No question marker /=ác/ or /=áj/ is added to the end of the clause.
   - Therefore, code this strategy as 1.

5. **Clause-medial Question Particle**:
   - There is no mention of a clause-medial question particle in the provided paragraphs.
   - Therefore, code this strategy as 0.

6. **Interrogative Verb Morphology**:
   - Paragraph 3 indicates that the Yes/No question marker /=ác/ or /=áj/ is added to the end of the clause, but it does not specify that this marker is bound to the verb only.
   - Therefore, code this strategy as 0.

7. **Tone**:
   - There is no mention of tone being used to form polar questions in the provided paragraphs.
   - Therefore, code this strategy as 0.

### Conclusion:
""Interrogative intonation only: 1, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""","clause-final question particle, interrogative intonation only","interrogative intonation only: 1, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Koyra Chiini,"Based on the provided paragraphs from the descriptive grammar of Koyra Chiini, we can determine the strategies for forming polar questions (yes-no questions) in the language. Here is the reasoning for each strategy:

1. **Interrogative intonation only**: Paragraph 5 mentions that KCh has no reliable polar interrogative morpheme and that the usual simple polar question has the form of an assertion, usually with rising terminal intonation. This indicates that interrogative intonation alone can mark polar questions.
   
2. **Interrogative word order**: There is no mention in the provided paragraphs of a change in word order being used to form polar questions. Therefore, we cannot confirm this strategy.

3. **Clause-initial question particle**: Paragraph 5 mentions that some younger speakers use clause-initial ""eska"" (from French ""est-ce que"") and a morpheme ""kona"" (variants ""koni"", ""kooni"") as clause-initial polar interrogative markers. Although ""kona"" is rare, its presence indicates that clause-initial question particles are used.

4. **Clause-final question particle**: Paragraph 3 states that clause-final polar interrogative ""ba"" is a characteristic feature of DjCh (Djenne Chiini). Since the task is to determine features for Koyra Chiini (KCh), and no clause-final particle is mentioned for KCh, we cannot confirm this strategy for KCh.

5. **Clause-medial question particle**: There is no mention of a clause-medial question particle in the provided paragraphs.

6. **Interrogative verb morphology**: There is no mention of interrogative verb morphology in the provided paragraphs.

7. **Tone**: There is no mention of tone being used to form polar questions in the provided paragraphs.

**Conclusion**: Based on the provided information, the strategies for forming polar questions in Koyra Chiini are as follows:
""Interrogative intonation only: 1, Interrogative word order: 0, Clause-initial question particle: 1, Clause-final question particle: 0, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""","clause-initial question particle, interrogative intonation only","interrogative intonation only: 1, interrogative word order: 0, clause-initial question particle: 1, clause-final question particle: 0, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Seme,"### Reasoning

Based on the provided paragraphs, the following information is relevant for determining the strategies for forming polar questions in Seme:

1. **Clause-final question particle**:
   - Paragraph 2 explicitly states that yes-no questions are marked with a clause-final interrogative particle, á.
   - Example: ""À ri le dì á?"" translates to ""Did s/he eat?""

2. **Interrogative intonation only**:
   - There is no explicit mention of interrogative intonation being the sole marker for polar questions in the provided paragraphs.

3. **Interrogative word order**:
   - There is no mention of changing word order to form polar questions in the provided paragraphs.

4. **Clause-initial question particle**:
   - There is no mention of a clause-initial question particle in the provided paragraphs.

5. **Clause-medial question particle**:
   - There is no mention of a clause-medial question particle in the provided paragraphs.

6. **Interrogative verb morphology**:
   - There is no mention of interrogative verb morphology in the provided paragraphs.

7. **Tone**:
   - There is no mention of tone being used to form polar questions in the provided paragraphs.

### Conclusion:
""Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""",clause-final question particle,"interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Tima,"### Reasoning:

Based on the provided paragraphs from the descriptive grammar of Tima, we can identify the strategies for forming polar questions (yes-no questions) in the language. Here is the analysis of each strategy:

1. **Interrogative Intonation Only**:
   - There is no explicit mention of interrogative intonation being the sole marker for polar questions in the provided paragraphs. Therefore, we cannot confirm its presence.
   
2. **Interrogative Word Order**:
   - There is no evidence in the provided paragraphs that suggests a change in word order is used to form polar questions. The examples given do not indicate a distinct word order for questions.

3. **Clause-initial Question Particle**:
   - There is no mention of a clause-initial question particle in the provided paragraphs.

4. **Clause-final Question Particle**:
   - Paragraph 1 provides an example of a polar question: 
     ```
     (122) (a) a-diik-ŋaŋ i-cuuk?
     2sg-go-2sg DIR-market
     'Are you going to the market?'
     ```
     The particle ""i-cuuk"" appears at the end of the clause, indicating the presence of a clause-final question particle.

5. **Clause-medial Question Particle**:
   - There is no mention of a clause-medial question particle in the provided paragraphs.

6. **Interrogative Verb Morphology**:
   - There is no mention of specific interrogative verb morphology in the provided paragraphs.

7. **Tone**:
   - Paragraph 2 mentions that there are many questions on tones remaining unclarified, but there is no specific mention of tone being used to form polar questions.

### Conclusion:
Based on the analysis, the strategies for forming polar questions in Tima are as follows:

```
Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0
```",not mentioned in the grammar,"interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
!Xun (Ekoka),"### Reasoning:

Based on the provided paragraphs from the descriptive grammar of !Xun (Ekoka), we can determine the strategies used for forming polar questions in the language. Here is the analysis of each strategy:

1. **Interrogative Intonation Only:**
   - There is no explicit mention of using intonation alone to form polar questions in the provided paragraphs. Therefore, we code this as 0.

2. **Interrogative Word Order:**
   - There is no indication that changing the word order alone can form polar questions. The paragraphs emphasize the use of question particles. Therefore, we code this as 0.

3. **Clause-initial Question Particle:**
   - Paragraphs indicate that question particles are used immediately after the first phrase of the clause, typically after the subject. This suggests that the particle can appear in a clause-initial position if the subject is the first phrase. Therefore, we code this as 1.

4. **Clause-final Question Particle:**
   - There is no mention of a clause-final question particle in the provided paragraphs. Therefore, we code this as 0.

5. **Clause-medial Question Particle:**
   - The question particle is placed immediately after the first phrase of the clause, which can be in various positions within the clause. This suggests that the particle can be clause-medial. Therefore, we code this as 1.

6. **Interrogative Verb Morphology:**
   - There is no mention of interrogative verb morphology (morphemes bound to the verb) in the provided paragraphs. Therefore, we code this as 0.

7. **Tone:**
   - There is no mention of using tone alone to form polar questions. Therefore, we code this as 0.

### Conclusion:
""Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 1, Clause-final question particle: 0, Clause-medial question particle: 1, Interrogative verb morphology: 0, Tone: 0""","clause-final question particle, second position question particle","interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 1, clause-final question particle: 0, clause-medial question particle: 1, interrogative verb morphology: 0, tone: 0"
Katcha,"### Reasoning

Based on the provided paragraphs from the descriptive grammar of Katcha, we can identify the strategies used for forming polar questions in the language. Here is the analysis for each strategy:

1. **Interrogative Intonation Only**: 
   - Paragraph 11 provides examples of polar questions (e.g., ""n-iciɔ ɔ kanʈái ́ːa a n-icík"" for ""Do you see the spear?"") but does not explicitly mention if intonation alone can mark a question. Therefore, we cannot confirm this strategy based on the given data.
   - **Code: 0**

2. **Interrogative Word Order**:
   - None of the paragraphs explicitly mention a change in word order to form polar questions. The examples provided do not indicate a reordering of constituents to mark questions.
   - **Code: 0**

3. **Clause-initial Question Particle**:
   - None of the paragraphs mention the presence of a clause-initial question particle.
   - **Code: 0**

4. **Clause-final Question Particle**:
   - Paragraph 11 shows the use of ""ɔ"" at the end of the question (e.g., ""n-iciɔ ɔ kanʈái ́ːa a n-icík"" for ""Do you see the spear?""). This suggests the presence of a clause-final question particle.
   - **Code: 1**

5. **Clause-medial Question Particle**:
   - There is no mention of a clause-medial question particle in the provided paragraphs.
   - **Code: 0**

6. **Interrogative Verb Morphology**:
   - None of the paragraphs indicate the use of specific verb morphology to mark polar questions.
   - **Code: 0**

7. **Tone**:
   - Paragraph 12 discusses the use of tone in Katcha, mentioning that tone is used to distinguish between different forms of verbs and possibly to mark case. However, it does not explicitly state that tone alone is used to form polar questions.
   - **Code: 0**

### Conclusion:
""Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""",not mentioned in the grammar,"interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
