Language,Response,Target,Predicted
Supyire,"### Reasoning:

Based on the provided paragraphs from the descriptive grammar of Supyire, we can identify the strategies used for forming polar questions (yes-no questions) in the language. Here is the analysis for each strategy:

1. **Interrogative Intonation Only**: 
   - There is no explicit mention of interrogative intonation being used alone to form yes-no questions. The examples provided always include an interrogative particle.
   - **Code: 0**

2. **Interrogative Word Order**:
   - The paragraphs do not mention any changes in word order to form yes-no questions. The structure of yes-no questions is described as being similar to declarative sentences with the addition of interrogative markers.
   - **Code: 0**

3. **Clause-Initial Question Particle**:
   - Paragraph 17 mentions clause-initial yes-no question particles such as ""tähä"" and ""tä"".
   - **Code: 1**

4. **Clause-Final Question Particle**:
   - Paragraphs 13 and 10 mention the use of clause-final question particles like ""la"" and ""bi"" to form yes-no questions.
   - **Code: 1**

5. **Clause-Medial Question Particle**:
   - There is no mention of clause-medial question particles. The particles are either clause-initial or clause-final.
   - **Code: 0**

6. **Interrogative Verb Morphology**:
   - There is no mention of specific verb morphology being used to form yes-no questions. The formation relies on particles rather than changes to the verb itself.
   - **Code: 0**

7. **Tone**:
   - There is no mention of tone being used as a strategy to form yes-no questions. The examples provided focus on the use of particles.
   - **Code: 0**

### Conclusion:
""Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 1, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""",clause-initial question particle,"interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 1, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Jamsay,"Based on the provided paragraphs from the descriptive grammar of Jamsay, we can determine the strategies for forming polar questions in this language. Here is the analysis:

1. **Clause-final question particle**: The particle ""ma"" is used as a clause-final interrogative particle to form polar questions. This is evident from Paragraph 1, which discusses the use of ""ma"" at the end of clauses to indicate questions. Examples include:
   - ""[n)a˘& n)E@˘-sa$-w ma$] [n)E˘$ -lu@˘-Ø]"" ('Have you-Sg eaten a meal, or haven’t you?')
   - ""ni@˘ yE@ sa$-Ø ma$ ni@˘ sa$˘-ra@-Ø"" ('Do they (=rocky hills) have water, or do they not have water?')

2. **Interrogative intonation only**: There is no explicit mention of interrogative intonation alone being used to form polar questions in the provided paragraphs.

3. **Interrogative word order**: There is no indication that Jamsay uses a specific word order to form polar questions.

4. **Clause-initial question particle**: There is no mention of a clause-initial question particle in the provided paragraphs.

5. **Clause-medial question particle**: There is no mention of a clause-medial question particle in the provided paragraphs.

6. **Interrogative verb morphology**: There is no mention of specific verb morphology used to form polar questions in the provided paragraphs.

7. **Tone**: There is no mention of tone being used to form polar questions in the provided paragraphs.

**Reasoning**:
- The primary strategy for forming polar questions in Jamsay is the use of the clause-final particle ""ma"", as detailed in Paragraph 1. This particle is added to the end of a statement to turn it into a question.
- There is no evidence from the provided paragraphs that Jamsay uses other strategies such as interrogative intonation, word order, clause-initial or clause-medial particles, interrogative verb morphology, or tone to form polar questions.

**Conclusion**:
""Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""",clause-final question particle,"interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Ma'di,"Based on the provided paragraphs from the descriptive grammar of Ma'di, we can determine the strategies for forming neutral polar (yes-no) questions in the language. Here is the reasoning for each strategy:

1. **Interrogative intonation only**: Paragraphs 3, 4, 9, 11, 15, 21, and 32 mention the use of final rising tone or high tone to form yes-no questions. This indicates that interrogative intonation is a strategy used in Ma'di.

2. **Interrogative word order**: There is no mention of a change in word order specifically for forming yes-no questions in the provided paragraphs.

3. **Clause-initial question particle**: There is no mention of a clause-initial question particle in the provided paragraphs.

4. **Clause-final question particle**: Paragraphs 25 and 32 mention the use of a final particle (either a high tone or the particle ""â"" in the Ugandan variant) to form yes-no questions. This indicates the presence of a clause-final question particle.

5. **Clause-medial question particle**: There is no mention of a clause-medial question particle in the provided paragraphs.

6. **Interrogative verb morphology**: There is no mention of specific interrogative verb morphology in the provided paragraphs.

7. **Tone**: Paragraphs 3, 4, 9, 11, 15, 21, and 32 mention the use of a final rising tone or high tone to form yes-no questions. This indicates that tone is used as a strategy for forming yes-no questions.

### Conclusion:
""Interrogative intonation only: 1, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 1""",tone,"interrogative intonation only: 1, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 1"
Bangime,"### Reasoning:

Based on the provided paragraphs from the descriptive grammar of Bangime, the following observations can be made regarding the strategies for forming polar questions:

1. **Interrogative Intonation Only**: There is no explicit mention of interrogative intonation being used as the sole strategy for forming polar questions in the provided paragraphs.

2. **Interrogative Word Order**: There is no indication that Bangime uses a specific word order to mark polar questions. The examples provided maintain the same word order as declarative sentences.

3. **Clause-Initial Question Particle**: Paragraph 7 explicitly mentions that question particles are phrase-initial. Examples include ""kótè à n déɛ̀?"" (where are you cultivating?) and ""nè ná á n déɛ̀?"" (when are you cultivating?).

4. **Clause-Final Question Particle**: There is no mention of clause-final question particles in the provided paragraphs.

5. **Clause-Medial Question Particle**: There is no mention of clause-medial question particles in the provided paragraphs.

6. **Interrogative Verb Morphology**: There is no mention of specific verb morphology used to form polar questions in the provided paragraphs.

7. **Tone**: There is no mention of tone being used to form polar questions in the provided paragraphs.

### Conclusion:
""Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 1, Clause-final question particle: 0, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""",clause-final question particle,"interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 1, clause-final question particle: 0, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Gumuz,"### Reasoning:

Based on the provided paragraphs, we can identify the strategies used in Gumuz for forming polar questions. Here is the analysis for each strategy:

1. **Interrogative Intonation Only**: 
   - Paragraph 3 mentions that a final rise in intonation generally indicates a Yes/No question in NoG: ""Lack of the affirmative morpheme with a final rise in intonation generally indicates a Yes/No question (7.66).""
   - This suggests that interrogative intonation is used to form polar questions.

2. **Interrogative Word Order**:
   - There is no explicit mention of changing word order to form polar questions in the provided paragraphs.

3. **Clause-initial Question Particle**:
   - There is no mention of a clause-initial question particle in the provided paragraphs.

4. **Clause-final Question Particle**:
   - Paragraph 1 states: ""The Yes/No question particle is a clause final clitic while the remaining enclitics are word-final.""
   - Paragraph 3 also supports this: ""In SoG, one must also add the Yes/No question marker /=ác/ or /=áj/ to the end of the clause (7.67).""

5. **Clause-medial Question Particle**:
   - There is no mention of a clause-medial question particle in the provided paragraphs.

6. **Interrogative Verb Morphology**:
   - There is no mention of specific interrogative verb morphology in the provided paragraphs.

7. **Tone**:
   - There is no mention of tone being used to form polar questions in the provided paragraphs.

### Conclusion:
""Interrogative intonation only: 1, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""","clause-final question particle, interrogative intonation only","interrogative intonation only: 1, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Koyra Chiini,"### Reasoning:

Based on the provided paragraphs from the descriptive grammar of Koyra Chiini, we can identify the strategies used for forming polar questions (yes-no questions) in the language. Here is the analysis of each paragraph:

1. **Paragraph 3** mentions the use of a clause-final polar interrogative particle ""ba"" in Djenné Chiini (DjCh), but it is explicitly stated that this feature is unknown in other Songhay varieties, including Koyra Chiini (KCh). Therefore, this does not apply to KCh.

2. **Paragraph 4** discusses the use of ""wala"" as a tag question and mentions that clause-initial particle ""yala ~ yara"" is occasionally used instead of ""wala"" in simple or embedded yes-no questions. However, it does not explicitly state that this is a common feature in KCh.

3. **Paragraph 5** explicitly states that KCh has no reliable polar interrogative morpheme and that the usual simple polar question has the form of an assertion, usually with rising terminal intonation. This indicates the use of interrogative intonation only.

4. **Paragraph 6** mentions the use of ""wala"" in embedded yes-no questions, but this is more about disjunction rather than a direct strategy for forming polar questions.

5. **Paragraph 10** mentions the use of ""wala"" in embedded polar questions, but again, this is about disjunction and not a primary strategy for forming polar questions.

6. **Paragraph 46** provides examples of polar questions using ""wala"" as a disjunction. This suggests that ""wala"" can be used in polar questions, but it is not the primary strategy.

7. **Paragraph 48** provides an example of a polar question using ""ba"" in DjCh, but this does not apply to KCh.

From the analysis, it is clear that the primary strategy for forming polar questions in Koyra Chiini is using interrogative intonation only. There is no mention of other strategies such as interrogative word order, clause-initial question particle, clause-final question particle, clause-medial question particle, interrogative verb morphology, or tone.

### Conclusion:
""Interrogative intonation only: 1, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 0, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""","clause-initial question particle, interrogative intonation only","interrogative intonation only: 1, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 0, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Seme,"### Reasoning:

Based on the provided paragraphs, we can determine the strategies for forming polar questions in Seme as follows:

1. **Interrogative Intonation Only**: There is no explicit mention of using intonation alone to form polar questions in the provided paragraphs.
2. **Interrogative Word Order**: There is no mention of changing the word order to form polar questions.
3. **Clause-initial Question Particle**: There is no mention of a clause-initial question particle.
4. **Clause-final Question Particle**: Paragraphs 2 and 44 explicitly mention the use of a clause-final interrogative particle ""á"" to mark yes-no questions.
5. **Clause-medial Question Particle**: There is no mention of a clause-medial question particle.
6. **Interrogative Verb Morphology**: There is no mention of interrogative verb morphology.
7. **Tone**: There is no mention of tone being used to form polar questions.

### Conclusion:
""Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""",clause-final question particle,"interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Tima,"### Reasoning:

Based on the provided paragraphs from the descriptive grammar of Tima, we can analyze the strategies for forming polar questions (yes-no questions) in the language. Here is the relevant information extracted from the paragraphs:

1. **Interrogative Intonation Only**:
   - There is no explicit mention of interrogative intonation as a strategy for forming polar questions in the provided paragraphs.

2. **Interrogative Word Order**:
   - There is no explicit mention of a change in word order to form polar questions in the provided paragraphs.

3. **Clause-Initial Question Particle**:
   - There is no explicit mention of a clause-initial question particle in the provided paragraphs.

4. **Clause-Final Question Particle**:
   - Paragraph 1 provides an example of a polar question: ""a-diik-ŋaŋ i-cuuk?"" which translates to ""are you going to the market?"" This suggests the presence of a clause-final question particle ""i-cuuk"".

5. **Clause-Medial Question Particle**:
   - There is no explicit mention of a clause-medial question particle in the provided paragraphs.

6. **Interrogative Verb Morphology**:
   - There is no explicit mention of interrogative verb morphology in the provided paragraphs.

7. **Tone**:
   - Paragraph 2 mentions that there are many questions on tones and the ATR system remaining unclarified. However, it does not provide specific information on the use of tone for forming polar questions.

### Conclusion:
Based on the provided information, the strategies for forming polar questions in Tima are as follows:

- **Interrogative intonation only**: 0
- **Interrogative word order**: 0
- **Clause-initial question particle**: 0
- **Clause-final question particle**: 1
- **Clause-medial question particle**: 0
- **Interrogative verb morphology**: 0
- **Tone**: 0

### Final Output:
""Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""",not mentioned in the grammar,"interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
!Xun (Ekoka),"### Reasoning

Based on the provided paragraphs, the following observations can be made about the strategies for forming polar questions in !Xun (Ekoka):

1. **Clause-initial question particle**: Paragraph 1 mentions that a question particle is placed immediately after the first phrase of the clause, typically after the subject constituent. This indicates the presence of a clause-initial question particle.
   
2. **Clause-final question particle**: Paragraph 5 mentions the final marker ""w6d"" as a sentence-final question particle in some dialects, indicating the presence of a clause-final question particle.

3. **Clause-medial question particle**: Paragraph 1 and Paragraph 4 indicate that the question particle can follow the first phrase of the clause, which can be in various positions within the clause. This suggests that the question particle can also be clause-medial.

4. **Interrogative intonation only**: There is no explicit mention of interrogative intonation as the sole marker for polar questions in the provided paragraphs.

5. **Interrogative word order**: There is no mention of a change in word order to form polar questions.

6. **Interrogative verb morphology**: There is no mention of specific verb morphology used to form polar questions.

7. **Tone**: There is no mention of tone being used to form polar questions.

### Conclusion

""Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 1, Clause-final question particle: 1, Clause-medial question particle: 1, Interrogative verb morphology: 0, Tone: 0""","clause-final question particle, second position question particle","interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 1, clause-final question particle: 1, clause-medial question particle: 1, interrogative verb morphology: 0, tone: 0"
Katcha,"### Reasoning:

Based on the provided paragraphs, we can determine the strategies for forming polar questions in Katcha. Here is the relevant information extracted from the paragraphs:

1. **Paragraph 11** (4.34a):
   - Example: ""n-iciɔ ɔ kanʈái ́ːa a n-icík"" translates to ""Do you see the spear? Yes, I see it.""
   - The question is formed with the same word order as a declarative sentence but with a question mark at the end, suggesting the use of **interrogative intonation**.

2. **Paragraph 12**:
   - Discusses the use of tone in Katcha, particularly in distinguishing grammatical forms, including verb aspects and possibly case marking on pronouns.
   - This suggests that **tone** might be used to form polar questions, although it is not explicitly confirmed for polar questions.

3. **Paragraph 6**:
   - The study aims to be data-led and open-minded, focusing on morphosyntactic descriptions and theoretical analyses.
   - No specific mention of polar question formation strategies.

4. **Paragraph 1**:
   - Discusses the balance between computational actions and lexical actions in Dynamic Syntax.
   - No specific mention of polar question formation strategies.

5. **Paragraph 4**:
   - Discusses demonstratives and their use in modifying peripheral arguments.
   - No specific mention of polar question formation strategies.

6. **Paragraph 7**:
   - Discusses computational actions and rules in Dynamic Syntax.
   - No specific mention of polar question formation strategies.

7. **Paragraph 8**:
   - Discusses the lexical specification of prepositions.
   - No specific mention of polar question formation strategies.

8. **Paragraph 9**:
   - Discusses the internal classification of Kadu languages.
   - No specific mention of polar question formation strategies.

9. **Paragraph 10**:
   - Discusses number and gender in Katcha.
   - No specific mention of polar question formation strategies.

10. **Paragraph 2**:
    - Discusses possessive noun phrases and their pronominal use.
    - No specific mention of polar question formation strategies.

### Conclusion:
Based on the information provided, the strategies for forming polar questions in Katcha are:

- **Interrogative intonation only**: 1 (confirmed by example in Paragraph 11)
- **Interrogative word order**: 0 (no evidence found)
- **Clause-initial question particle**: 0 (no evidence found)
- **Clause-final question particle**: 0 (no evidence found)
- **Clause-medial question particle**: 0 (no evidence found)
- **Interrogative verb morphology**: 0 (no evidence found)
- **Tone**: 1 (suggested by Paragraph 12, but not explicitly confirmed for polar questions)

Thus, the output is:

""Interrogative intonation only: 1, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 0, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 1""",not mentioned in the grammar,"interrogative intonation only: 1, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 0, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 1"
