Language,Response,Target,Predicted
Supyire,"### Reasoning:

Based on the provided paragraphs from the descriptive grammar of Supyire, we can identify several strategies for forming polar questions. Here is the analysis for each strategy:

1. **Interrogative intonation only**: There is no mention of forming polar questions using only intonation. The examples provided all include interrogative markers.

2. **Interrogative word order**: The paragraphs do not mention any changes in word order to form polar questions. The structure of the questions remains similar to declarative sentences with the addition of interrogative markers.

3. **Clause-initial question particle**: The text mentions clause-initial particles such as ""tähä"" and ""tä"" which are used to form yes/no questions. This indicates the presence of clause-initial question particles.

4. **Clause-final question particle**: Several clause-final particles are mentioned, including ""la,"" ""wä,"" ""k£,"" and ""bi."" These particles are used to form yes/no questions, indicating the presence of clause-final question particles.

5. **Clause-medial question particle**: There is no mention of any clause-medial question particles in the provided text.

6. **Interrogative verb morphology**: The text does not mention any specific interrogative verb morphology. The formation of questions relies on particles rather than changes to the verb morphology.

7. **Tone**: There is no mention of tone being used to differentiate between declarative and interrogative sentences.

### Conclusion:
""Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 1, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""",clause-initial question particle,"interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 1, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Jamsay,"### Reasoning:

Based on the provided paragraphs from the descriptive grammar of Jamsay, we can identify the strategies used for forming polar questions in the language. Here is the detailed analysis:

1. **Interrogative intonation only**:
   - The grammar does not mention that polar questions can be formed by intonation alone. Instead, it emphasizes the use of a clause-final particle. Therefore, we code this as 0.

2. **Interrogative word order**:
   - There is no mention of a change in word order to form polar questions. The primary method described is the use of a clause-final particle. Therefore, we code this as 0.

3. **Clause-initial question particle**:
   - There is no mention of a clause-initial question particle in the provided paragraphs. The described method involves a clause-final particle. Therefore, we code this as 0.

4. **Clause-final question particle**:
   - The grammar explicitly states that polar interrogatives are formed by adding a particle ""ma"" to the end of a statement. This is a clear indication of a clause-final question particle. Therefore, we code this as 1.

5. **Clause-medial question particle**:
   - There is no mention of a clause-medial question particle. The particle ""ma"" is described as being clause-final. Therefore, we code this as 0.

6. **Interrogative verb morphology**:
   - There is no mention of interrogative verb morphology in the provided paragraphs. The primary method involves a clause-final particle. Therefore, we code this as 0.

7. **Tone**:
   - The description mentions that the particle ""ma"" can have variable pitch and duration, but this is related to intonation rather than lexical or grammatical tone marking the interrogative. Therefore, we code this as 0.

### Conclusion:
""Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""",clause-final question particle,"interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Ma'di,"### Reasoning

Based on the provided paragraphs from the descriptive grammar of Ma'di, we can identify the following strategies for forming polar questions:

1. **Interrogative Intonation Only**: 
   - Paragraph 1 (Example 66) and Paragraph 3 (Examples 162, 164) indicate that a final rising tone can be added to a declarative sentence to form a yes-no question. This suggests that interrogative intonation alone can mark polar questions.
   - **Code**: 1

2. **Interrogative Word Order**:
   - There is no mention of a change in word order being used to form polar questions in the provided paragraphs.
   - **Code**: 0

3. **Clause-initial Question Particle**:
   - There is no mention of a clause-initial question particle in the provided paragraphs.
   - **Code**: 0

4. **Clause-final Question Particle**:
   - Paragraph 2 (Examples 90, 91, 92, 93) and Paragraph 3 (Examples 158, 159) indicate the presence of a clause-final question particle ""ra"" or ""dì"" with a high tone.
   - **Code**: 1

5. **Clause-medial Question Particle**:
   - There is no mention of a clause-medial question particle in the provided paragraphs.
   - **Code**: 0

6. **Interrogative Verb Morphology**:
   - There is no mention of interrogative verb morphology in the provided paragraphs.
   - **Code**: 0

7. **Tone**:
   - Paragraph 2 (Examples 90, 91, 92, 93) and Paragraph 3 (Examples 158, 159, 164) indicate that a high tone can be used to mark yes-no questions, especially for emphasis or repetition.
   - **Code**: 1

### Conclusion:
""Interrogative intonation only: 1, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 1""",tone,"interrogative intonation only: 1, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 1"
Bangime,"### Reasoning

Based on the provided paragraphs from the descriptive grammar of Bangime, we can identify the following strategies for forming polar questions:

1. **Interrogative intonation only**: The paragraphs do not provide any explicit information about whether intonation alone can mark polar questions. Therefore, we cannot confirm this strategy.
2. **Interrogative word order**: There is no mention of a change in word order to form polar questions in the provided text.
3. **Clause-initial question particle**: There is no evidence of a clause-initial question particle in the provided text.
4. **Clause-final question particle**: The text does not mention a clause-final question particle.
5. **Clause-medial question particle**: The text does not mention a clause-medial question particle.
6. **Interrogative verb morphology**: There is no indication of interrogative verb morphology in the provided text.
7. **Tone**: The text does not mention the use of tone to form polar questions.

However, the text does mention a ""question particle"" in the following sentence:

- ""Have you sold her? nìì ŋá nìì ŋá à kɔ́mɛ̀ náá ?""

Here, ""náá"" is identified as a question particle. The position of ""náá"" in the sentence suggests that it can follow any constituent, which can be in various positions within the clause, including the clause-final position. Therefore, we code 1 for both ""Clause-medial question particle"" and ""Clause-final question particle"".

### Conclusion:
Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 1, Clause-medial question particle: 1, Interrogative verb morphology: 0, Tone: 0",clause-final question particle,"interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 1, clause-medial question particle: 1, interrogative verb morphology: 0, tone: 0"
Gumuz,"### Reasoning:

Based on the provided paragraphs from the descriptive grammar of Gumuz, we can identify the strategies used for forming polar questions in the language. Let's analyze each strategy in detail:

1. **Interrogative intonation only**: 
   - Paragraph 1 mentions that ""Lack of the affirmative morpheme with a final rise in intonation generally indicates a Yes/No question."" This indicates that interrogative intonation alone can mark a polar question.
   - Therefore, we code this strategy as 1.

2. **Interrogative word order**:
   - There is no mention of changing word order to form polar questions in the provided paragraphs.
   - Therefore, we code this strategy as 0.

3. **Clause-initial question particle**:
   - There is no mention of a clause-initial question particle in the provided paragraphs.
   - Therefore, we code this strategy as 0.

4. **Clause-final question particle**:
   - Paragraph 1 states that in SoG, one must add the Yes/No question marker /=ác/ or /=áj/ to the end of the clause to form a polar question.
   - Therefore, we code this strategy as 1.

5. **Clause-medial question particle**:
   - There is no mention of a clause-medial question particle in the provided paragraphs.
   - Therefore, we code this strategy as 0.

6. **Interrogative verb morphology**:
   - There is no mention of interrogative verb morphology in the provided paragraphs.
   - Therefore, we code this strategy as 0.

7. **Tone**:
   - There is no mention of tone being used to form polar questions in the provided paragraphs.
   - Therefore, we code this strategy as 0.

### Conclusion:
""Interrogative intonation only: 1, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""","clause-final question particle, interrogative intonation only","interrogative intonation only: 1, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Koyra Chiini,"Based on the provided paragraph from the descriptive grammar of Koyra Chiini, we can analyze the strategies for forming polar questions as follows:

1. **Interrogative intonation only:** The paragraph does not provide information on whether intonation alone can mark polar questions. Therefore, we cannot confirm this strategy.
2. **Interrogative word order:** There is no mention of a change in word order to form polar questions in the provided text.
3. **Clause-initial question particle:** The morpheme ""kona"" (with variants ""koni"" and ""kooni"") is mentioned as an apparent clause-initial polar interrogative marker, although it is rare and possibly a dialectal borrowing from Fulfulde. This suggests that clause-initial question particles can be used, even if infrequently.
4. **Clause-final question particle:** The conjunction ""wala"" is used at the end of a clause to form polar questions, functioning similarly to the German ""oder?"" This indicates the presence of a clause-final question particle.
5. **Clause-medial question particle:** There is no evidence from the paragraph that a clause-medial question particle is used.
6. **Interrogative verb morphology:** The paragraph does not mention any specific interrogative verb morphology.
7. **Tone:** There is no information provided about the use of tone to mark polar questions.

### Reasoning:
- **Clause-initial question particle:** The text mentions the use of ""kona"" (and its variants) as a clause-initial polar interrogative marker, albeit rare.
- **Clause-final question particle:** The text describes the use of ""wala"" at the end of a clause to form polar questions.

### Conclusion:
""Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 1, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""","clause-initial question particle, interrogative intonation only","interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 1, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Seme,"### Reasoning

Based on the provided paragraphs from the descriptive grammar of Seme, we can determine the strategies used for forming polar questions in the language. 

1. **Clause-final question particle**:
   - The grammar explicitly mentions the use of a clause-final interrogative particle ""á"" to mark yes-no questions.
   - Example: ""À ri le dì á?"" (Did s/he eat?)
   - This indicates that Seme uses a clause-final question particle to form polar questions.

2. **Interrogative intonation only**:
   - There is no mention in the provided text about using intonation alone to form polar questions. Therefore, we cannot assume this strategy is used.
   
3. **Interrogative word order**:
   - The provided text does not mention any changes in word order to form polar questions. Therefore, we cannot assume this strategy is used.
   
4. **Clause-initial question particle**:
   - There is no mention of a clause-initial question particle in the provided text. Therefore, we cannot assume this strategy is used.
   
5. **Clause-medial question particle**:
   - There is no mention of a clause-medial question particle in the provided text. Therefore, we cannot assume this strategy is used.
   
6. **Interrogative verb morphology**:
   - There is no mention of any specific interrogative verb morphology in the provided text. Therefore, we cannot assume this strategy is used.
   
7. **Tone**:
   - There is no mention of tone being used to form polar questions in the provided text. Therefore, we cannot assume this strategy is used.

### Conclusion:
""Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0""",clause-final question particle,"interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
Tima,"### Reasoning:

Based on the provided paragraph, we can identify the following strategies for forming polar questions in Tima:

1. **Interrogative intonation only**: The paragraph does not provide information about whether intonation alone can mark polar questions. Therefore, we cannot conclude that this strategy is used.
   
2. **Interrogative word order**: The example (122a) shows the word order ""2sg-go-2sg DIR-market,"" which is the same as the declarative form. There is no indication that word order changes to form a question. Therefore, this strategy is not used.

3. **Clause-initial question particle**: There is no mention of a clause-initial question particle in the provided paragraph. Therefore, this strategy is not used.

4. **Clause-final question particle**: The example (122a) shows the particle ""i-cuuk?"" at the end of the clause, indicating that a clause-final question particle is used to form polar questions.

5. **Clause-medial question particle**: There is no mention of a clause-medial question particle in the provided paragraph. Therefore, this strategy is not used.

6. **Interrogative verb morphology**: The verb morphology in the question (122a) does not differ from the declarative form. Therefore, this strategy is not used.

7. **Tone**: There is no information provided about the use of tone to form polar questions. Therefore, this strategy is not used.

### Conclusion:
Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 0, Clause-final question particle: 1, Clause-medial question particle: 0, Interrogative verb morphology: 0, Tone: 0",not mentioned in the grammar,"interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 0, clause-final question particle: 1, clause-medial question particle: 0, interrogative verb morphology: 0, tone: 0"
!Xun (Ekoka),"### Reasoning:

Based on the provided paragraphs from the descriptive grammar of !Xun (Ekoka), we can identify the strategies used for forming polar questions in the language. Here is the analysis for each strategy:

1. **Interrogative intonation only**: There is no mention of intonation alone being used to form polar questions. The grammar explicitly states that a question particle is required for forming questions.

2. **Interrogative word order**: There is no indication that word order alone is used to form polar questions. The grammar does not mention any changes in word order for this purpose.

3. **Clause-initial question particle**: The grammar mentions that question particles can appear immediately after the first phrase of the clause, which can be considered clause-initial if the first phrase is the subject or another initial constituent. Therefore, this strategy is present.

4. **Clause-final question particle**: The grammar does not provide evidence of a clause-final question particle. The examples show question particles appearing after the first phrase or in other positions, but not specifically at the end of the clause.

5. **Clause-medial question particle**: The grammar indicates that question particles can appear immediately after the first phrase of the clause, which can be considered clause-medial if the first phrase is not the initial constituent. Therefore, this strategy is present.

6. **Interrogative verb morphology**: There is no mention of interrogative verb morphology in the provided paragraphs. The grammar does not indicate that verbs are marked morphologically to form polar questions.

7. **Tone**: There is no mention of tone being used to form polar questions. The grammar does not discuss any tonal changes for this purpose.

### Conclusion:
""Interrogative intonation only: 0, Interrogative word order: 0, Clause-initial question particle: 1, Clause-final question particle: 0, Clause-medial question particle: 1, Interrogative verb morphology: 0, Tone: 0""","clause-final question particle, second position question particle","interrogative intonation only: 0, interrogative word order: 0, clause-initial question particle: 1, clause-final question particle: 0, clause-medial question particle: 1, interrogative verb morphology: 0, tone: 0"
Katcha,,not mentioned in the grammar,
