Language,Response,Target,Predicted
Supyire,"Based on the provided paragraphs, we can determine that standard negation in Supyire involves modifications to the verb or the use of affixes/clitics that are phonologically bound to the verb. Here is the reasoning:

1. **Paragraph 4** mentions that realis complements of manipulative verbs lose high tone marking in the negative, indicating a modification of the verb form in negative constructions.
2. **Paragraph 5** describes clause final negative particles like ""mä"" and ""mi"" that follow the verb, suggesting that negation is marked at the end of the clause, which can be considered as phonologically bound to the verb.
3. **Paragraph 6** states that negation is doubly marked in the clause, with a clause final negative particle and a marking in the auxiliary position immediately following the subject. This implies that the auxiliary (which is part of the verb phrase) is modified for negation.
4. **Paragraph 13** provides a table summarizing negative marking in auxiliary positions, showing that different tense-aspects use specific negative markers, including low tones and additional auxiliaries like ""pye"" for negation. This indicates that negation involves modifications to the verb or auxiliary.
5. **Paragraph 18** mentions that certain types of subordinate clauses are not amenable to negation and describes the placement of negative markers in complex sentences, further supporting the idea that negation involves specific morphological changes to the verb or auxiliary.

Given these points, it is clear that standard negation in Supyire can be marked by modifications to the verb or by affixes/clitics that are phonologically bound to the verb.

**Conclusion:** 1",1,1
Jamsay,"1. Based on the provided paragraphs, it is clear that standard negation in Jamsay can be marked by an affix or modification of the verb. Several paragraphs explicitly describe the use of suffixes for negation:

- **Paragraph 1** mentions that negation is expressed by verbal suffixation, with distinct negative suffixes for perfective and imperfective verbs (e.g., -go@- for imperfective negation and -li@- for perfective negation).
- **Paragraph 2** provides examples of negative inflected verbs using suffixes (e.g., lu$gu$ro$-jE$-lu@-m for ""I have not searched"").
- **Paragraph 4** discusses the use of negative suffixes like -li@- and -go@- for perfective and imperfective verbs respectively.
- **Paragraph 7** reiterates the use of the suffix -go@- for imperfective negation.
- **Paragraph 8** confirms the use of the suffix -li@- for perfective negation.
- **Paragraph 14** describes the use of the suffix -la@- for negating adjectival and stative predicates.

These paragraphs collectively demonstrate that Jamsay employs suffixes to mark negation directly on the verb, fulfilling the criteria for standard negation being marked by an affix or modification of the verb.

Conclusion: 1",1,1
Ma'di,"Based on the provided paragraphs, it is clear that the language Ma'di uses negation particles such as ""kü"" for nonpast negation and ""kûrù"" for past negation. These particles are described as being placed in sentence-final positions and are not phonologically bound to the verb. The verb remains uninflected when these negation particles are used.

Here are the key points from the paragraphs:

1. **Paragraph 5**: ""The verb is negated by a sentence-final negation word kü or küru; the verb must be uninflected and tense is expressed by the choice of negation word.""
2. **Paragraph 8**: ""NEG(N)kü can negate only an uninflected verb.""
3. **Paragraph 11**: ""The past negation particle kuru must co-occur with an uninflected verb.""
4. **Paragraph 13**: ""A verb negated with the past negation particle küru or the nonpast negation particle kü. In both cases the verb has the syntax and morphology of an uninflected verb.""

These points indicate that the negation particles ""kü"" and ""kûrù"" are not affixes or clitics that attach to the verb. Instead, they are separate words that follow the verb, which remains uninflected. Therefore, standard negation in Ma'di is not marked by an affix, clitic, or modification of the verb.

**Reasoning:**
- The negation particles ""kü"" and ""kûrù"" are used to negate verbs, but they do not attach to the verb as affixes or clitics.
- The verb remains uninflected when these negation particles are used, indicating that the negation is not marked by modifying the verb itself.

**Conclusion:** 0",0,0
Bangime,"Based on the provided paragraphs, it is possible to determine that standard negation in Bangime can be marked by an affix, clitic, or modification of the verb. Here is the reasoning:

1. **Paragraph 2** mentions that transitive verbs in Class Two and Three take the [–r] suffix, or the [–d] allomorph, in the negative completive aspect. This indicates that the verb itself is modified by an affix in the context of negation.
   
2. **Paragraph 5** provides examples of negative verb forms where the verb root is followed by the [–r] suffix in the completive aspect. For instance, ""bíé n déɛ̀bíè déɛ́–rè"" (lick) and ""bíé n nìèbíè nìɛ̀–rè"" (drink) show the use of the [–r] suffix in the negative completive aspect.

3. **Paragraph 11** further supports this by listing intransitive verbs that take the [–r] suffix in the completive negative form, such as ""jíèbíè jé–rò"" (get up) and ""téɛ̀bíé té–rɛ̀"" (lost).

These examples clearly show that negation in Bangime can involve the use of a suffix attached to the verb, which qualifies as an affix.

**Conclusion:** 1",1,1
Gumuz,"Based on the provided paragraphs from the descriptive grammar of Gumuz, we can determine the method of standard negation in the language. Here is the reasoning:

1. **Paragraph 1**: This paragraph mentions that in both NoG (Northern Gumuz) and parts of SoG (Southern Gumuz), the negative clitic /=(a)ŋg̩ ó/ attaches to the end of the conjugated verb. This indicates that the negation is marked by a clitic that is phonologically bound to the verb.

2. **Paragraph 4**: This paragraph provides examples of negation in both NoG and SoG, showing the negative clitic =ŋgó attached to the verb. For instance, ""á-a-ŋár-agá-kʼo=ŋgó"" (3SG.INTR-RECP-take-NFUT-HEAD=NEG) translates to ""A sheep and a goat don’t marry.""

3. **Paragraph 11**: This paragraph explicitly states that the negative clitics /=ŋgó/ and /=cê/ are used in Gumuz and are restricted to attaching to main clause verbs. This reinforces the idea that negation is marked by a clitic that is phonologically bound to the verb.

4. **Paragraph 18**: This paragraph discusses the use of negative auxiliaries for subordinate clauses but confirms that the negative clitics =ŋgó and =cê are used for main clause verbs.

From these paragraphs, it is clear that standard negation in Gumuz can be marked by a clitic that is phonologically bound to the verb. Therefore, the correct option is 1.

**Conclusion:** 1",1,1
Koyra Chiini,"Based on the provided paragraphs, we can determine that standard negation in Koyra Chiini can be marked by an affix, clitic, or modification of the verb. Here is the reasoning:

1. **Paragraph 3** mentions the morphemes ""si"" and ""sii"" for negation, with ""si"" being used as the imperfective negative (ImpfNeg) marker. It is stated that ""si"" is a preverbal MAN morpheme, indicating that it attaches to the verb to mark negation.
   
2. **Paragraph 16** provides a detailed description of the MAN morphemes and sequences, including ""si"" for indicative imperfective negative (ImpfNeg) and ""na"" for indicative perfective negative (Neg). These morphemes follow the subject NP and immediately precede the verb, showing that they are bound to the verb.

3. **Paragraph 14** discusses the subjunctive mood and mentions ""ma si"" as the negative counterpart, where ""si"" is glossed as ""Neg."" This further supports that ""si"" is used in combination with the verb to indicate negation.

4. **Paragraph 20** provides examples where ""si"" and ""na"" are used as negative markers in sentences, showing their role in negating the verb.

Given this evidence, it is clear that standard negation in Koyra Chiini involves morphemes that are phonologically bound to the verb.

**Conclusion:** 1",0,1
Seme,"Based on the provided paragraphs, it is clear that the language Seme uses a clause-final particle ""bo"" to mark negation. This particle does not attach to the verb as an affix or clitic, nor does it modify the verb itself. Instead, it appears as a separate word following the verb and other elements in the clause.

Here is the relevant evidence from the paragraphs:

- Paragraph 3: ""PST NEG Tòl Sɛ̀mɛ̀ Orodara Siamou jɛ́ɛn language kwɔsé jɛ́ɛn only language kwɔsé jɛ́ɛn only language má kɛl ín bo. other speak.PERF PST NEG In the past, in Orodara, no other language but Siamou was spoken.""
- Paragraph 10: ""À ri le dì bo. food eat.PRFV NEG 3SG FIN He didn't eat food.""
- Paragraph 12: ""Negation is generally marked by a clause-final negation particle, bo (101).""

These examples consistently show that the negation marker ""bo"" is a separate particle that follows the verb and other elements in the clause, rather than being an affix, clitic, or modification of the verb.

Therefore, based on the evidence provided, standard negation in the language Seme cannot be marked by an affix, clitic, or modification of the verb.

**Conclusion:** 0",0,0
Tima,"1. Based on the provided paragraphs, it is clear that standard negation in Tima can be marked by a modification of the verb or an affix/clitic that is phonologically bound to the verb. Here is the reasoning:

- **Paragraph 1**: It mentions that the negative particle 'kV-' is procliticized to a verb and the negative particle '-Vŋ' is encliticized to a verb or verb phrase. The examples provided show these particles attached directly to the verb, indicating that they form a phonological unit with the verb.
- **Paragraph 2**: It reiterates that Tima uses two obligatory negative particles, 'kV-' (proclitic) and '-Vŋ' (enclitic), in a negative sentence. This supports the idea that these particles are bound to the verb.
- **Paragraph 3**: It describes the formula for negated clauses as NEG + VP + NEG, and mentions that the negative particles harmonize with the verb root, further indicating that they are phonologically bound to the verb.
- **Paragraph 4**: It confirms that the most common strategy of negation in Tima involves the use of the two negative particles 'kV-' and '-Vŋ' in a single clause, especially in negating declarative clauses.
- **Paragraph 5**: Provides examples of negative perfective aspect, showing the negative particles 'kV-' and '-Vŋ' attached to the verb.
- **Paragraph 6**: Mentions that the negative construction of declarative sentences will be presented, indicating a systematic approach to negation involving these particles.
- **Paragraph 7**: Shows examples of negative imperative and subjunctive forms, again using the negative particles 'kV-' and '-Vŋ'.
- **Paragraph 8**: Provides further examples of negative imperative and subjunctive forms, reinforcing the use of these particles.
- **Paragraph 9**: Discusses imperfective negation and provides examples where the negative particles 'kV-' and '-Vŋ' are used.
- **Paragraph 10**: Mentions that Tima uses a large number of affixes, including negative markers, which attach to the verb.
- **Paragraph 11**: Describes the verb structure in Tima, indicating that negative markers occupy specific slots in the verb structure.
- **Paragraph 12**: Mentions that the second enclitic negative marker is encliticized to the end of the clause in transitive verbs, negating the whole clause.
- **Paragraph 13**: Discusses how tense, aspect, and mood are inflected on the verb, including negation.
- **Paragraph 14**: Provides a general discussion on clitics, supporting the idea that negative markers in Tima are clitics.
- **Paragraph 15**: Provides examples of stative aspect markers on verbs, showing the complexity of verb morphology in Tima.
- **Paragraph 16**: Discusses the overlap between tense, aspect, and mood, including negation.
- **Paragraph 17**: Provides examples of imperative forms, showing the use of negative markers.
- **Paragraph 18**: Provides a detailed structure of the Tima verb, showing the slots for negative markers.
- **Paragraph 19**: Provides examples of subjunctive forms, showing the use of negative markers.
- **Paragraph 20**: Discusses noun class systems and inherent grammatical categories on verbs, including negation.

Given this extensive evidence, it is clear that standard negation in Tima involves the use of negative particles that are phonologically bound to the verb.

Conclusion: 1",1,1
!Xun (Ekoka),"Based on the provided paragraphs, we can determine the method of standard negation in !Xun (Ekoka). Here is the relevant information extracted from the paragraphs:

1. **Paragraph 3** mentions that verbs in !Xun can be negated by the proclitic *l6a.
   - ""They are negated by the proclitic *l6a (see section 3.3).""

2. **Paragraph 10** provides additional details about the negation markers:
   - ""Verbal negation is fairly uniform across all dialects: (a) There are two markers, each associated with a clearly defined range of functions, see table 3-4. (b) Negation markers are pre-clitics (in case there is a verb). (c) The negation markers are *l6a (general negation) and *kora (negative existence)...""

3. **Paragraph 13** further supports the use of negation markers:
   - ""What is common to all dialects is that TAM (tense—aspect-modality) markers and negation are placed between subject and verb...""

From these paragraphs, it is clear that standard negation in !Xun (Ekoka) can be marked by a proclitic (*l6a) that is phonologically bound to the verb. This proclitic forms a phonological unit with the verb, fulfilling the criteria for being considered an affix or clitic bound to the verb.

### Reasoning:
- The negation marker *l6a is described as a proclitic, which means it is phonologically bound to the verb.
- The information provided consistently indicates that negation is marked by this proclitic in the context of verbal predicates.

### Conclusion:
1

",1,1
Katcha,"1. Based on the provided paragraphs, it can be determined that standard negation in Katcha can be marked by an affix, clitic, or modification of the verb. Specifically, paragraph 12 provides an example of passive morphology where the verb is modified by a suffix ""-tene"" to indicate passive voice. Although this example is about passive voice and not negation, it demonstrates that Katcha uses suffixes to modify verbs for grammatical purposes. This suggests that similar morphological processes could be used for negation. Additionally, paragraph 13 discusses the use of relative markers that cliticize to the verb, further supporting the idea that Katcha employs bound morphemes for grammatical functions.

2. **Conclusion:** 1",0,1
